scenario,T,TECH,TYPE,F,value
S0,T7473,FC,CO,electricity,1.0
S0,T7474,FC,CO,electricity,1.0
S0,T7475,FC,CO,electricity,1.0
S0,T7476,FC,CO,electricity,1.0
S0,T7477,FC,CO,electricity,1.0
S0,T7478,FC,CO,electricity,1.0
S0,T7479,FC,CO,electricity,1.0
S0,T7480,FC,CO,electricity,1.0
S0,T7481,FC,CO,electricity,1.0
S0,T7482,FC,CO,electricity,1.0
S0,T7483,FC,CO,electricity,1.0
S0,T7484,FC,CO,electricity,1.0
S0,T7485,FC,CO,electricity,1.0
S0,T7486,FC,CO,electricity,1.0
S0,T7487,FC,CO,electricity,1.0
S0,T7488,FC,CO,electricity,1.0
S0,T7489,FC,CO,electricity,1.0
S0,T7490,FC,CO,electricity,1.0
S0,T7491,FC,CO,electricity,1.0
S0,T7492,FC,CO,electricity,1.0
S0,T7493,FC,CO,electricity,1.0
S0,T7494,FC,CO,electricity,1.0
S0,T7495,FC,CO,electricity,1.0
S0,T7496,FC,CO,electricity,1.0
S0,T7497,FC,CO,electricity,1.0
S0,T7498,FC,CO,electricity,1.0
S0,T7499,FC,CO,electricity,1.0
S0,T7500,FC,CO,electricity,1.0
S0,T7501,FC,CO,electricity,1.0
S0,T7502,FC,CO,electricity,1.0
S0,T7503,FC,CO,electricity,1.0
S0,T7504,FC,CO,electricity,1.0
S0,T7505,FC,CO,electricity,1.0
S0,T7506,FC,CO,electricity,1.0
S0,T7507,FC,CO,electricity,1.0
S0,T7508,FC,CO,electricity,1.0
S0,T7509,FC,CO,electricity,1.0
S0,T7510,FC,CO,electricity,1.0
S0,T7511,FC,CO,electricity,1.0
S0,T7512,FC,CO,electricity,1.0
S0,T7513,FC,CO,electricity,1.0
S0,T7514,FC,CO,electricity,1.0
S0,T7515,FC,CO,electricity,1.0
S0,T7516,FC,CO,electricity,1.0
S0,T7517,FC,CO,electricity,1.0
S0,T7518,FC,CO,electricity,1.0
S0,T7519,FC,CO,electricity,1.0
S0,T7520,FC,CO,electricity,1.0
S0,T7521,FC,CO,electricity,1.0
S0,T7522,FC,CO,electricity,1.0
S0,T7523,FC,CO,electricity,1.0
S0,T7524,FC,CO,electricity,1.0
S0,T7525,FC,CO,electricity,1.0
S0,T7526,FC,CO,electricity,1.0
