scenario,T,TECH,TYPE,F,value
S0,T0865,ARGO5,BP,municipal waste,65.0
S0,T0865,ARGO6,BP,municipal waste,73.0
S0,T0865,KKV7,BP,wood chips,47.0
S0,T0865,KKV8,BP,wood chips,56.0
S0,T0865,VF5,BP,municipal waste,85.0
S0,T0865,VF6,BP,municipal waste,112.0
S0,T0865,HOB_EL,HO,electricity,120.0
S0,T0865,HOB_NG,HO,natural gas,35.99351170045808
S0,T0865,HOB_WP,HO,wood pellets,33.0
S0,T0865,HOB_WW,HO,wood waste,14.0
S0,T0865,DEH,HO,excess heat,8.0
S0,T0865,HP_AIR,HO,electricity,3.248
S0,T0866,FC,CO,electricity,0.04329004329004329
S0,T0866,AMV1,BP,wood pellets,362.0
S0,T0866,AMV4,BP,wood chips,500.0
S0,T0866,ARC,BP,municipal waste,224.0
S0,T0866,ARGO5,BP,municipal waste,65.0
S0,T0866,ARGO6,BP,municipal waste,73.0
S0,T0866,KKV7,BP,wood chips,47.0
S0,T0866,KKV8,BP,wood chips,56.0
S0,T0866,VF5,BP,municipal waste,85.0
S0,T0866,VF6,BP,municipal waste,112.0
S0,T0866,HOB_EL,HO,electricity,120.0
S0,T0866,HOB_NG,HO,natural gas,25.28236606939012
S0,T0866,HOB_WP,HO,wood pellets,33.0
S0,T0866,HOB_WW,HO,wood waste,14.0
S0,T0866,DEH,HO,excess heat,8.0
S0,T0866,HP_AIR,HO,electricity,3.248
S0,T0867,FC,CO,electricity,0.04329004329004329
S0,T0867,AMV1,BP,wood pellets,356.455087295414
S0,T0867,AMV4,BP,wood chips,500.0
S0,T0867,ARC,BP,municipal waste,224.0
S0,T0867,ARGO5,BP,municipal waste,65.0
S0,T0867,ARGO6,BP,municipal waste,73.0
S0,T0867,KKV7,BP,wood chips,47.0
S0,T0867,KKV8,BP,wood chips,56.0
S0,T0867,VF5,BP,municipal waste,85.0
S0,T0867,VF6,BP,municipal waste,112.0
S0,T0867,HOB_EL,HO,electricity,120.0
S0,T0867,HOB_WP,HO,wood pellets,33.0
S0,T0867,HOB_WW,HO,wood waste,14.0
S0,T0867,DEH,HO,excess heat,8.0
S0,T0867,HP_AIR,HO,electricity,3.248
S0,T0868,FC,CO,electricity,0.04329004329004329
S0,T0868,AMV1,BP,wood pellets,362.0
S0,T0868,AMV4,BP,wood chips,500.0
S0,T0868,ARC,BP,municipal waste,224.0
S0,T0868,ARGO5,BP,municipal waste,65.0
S0,T0868,ARGO6,BP,municipal waste,73.0
S0,T0868,KKV7,BP,wood chips,47.0
S0,T0868,KKV8,BP,wood chips,56.0
S0,T0868,VF5,BP,municipal waste,85.0
S0,T0868,VF6,BP,municipal waste,112.0
S0,T0868,HOB_EL,HO,electricity,120.0
S0,T0868,HOB_NG,HO,natural gas,73.76298742861341
S0,T0868,HOB_WP,HO,wood pellets,33.0
S0,T0868,HOB_WW,HO,wood waste,14.0
S0,T0868,DEH,HO,excess heat,8.0
S0,T0868,HP_AIR,HO,electricity,3.248
S0,T0869,FC,CO,electricity,0.04329004329004329
S0,T0869,AMV1,BP,wood pellets,362.0
S0,T0869,AMV4,BP,wood chips,500.0
S0,T0869,ARC,BP,municipal waste,224.0
S0,T0869,ARGO5,BP,municipal waste,65.0
S0,T0869,ARGO6,BP,municipal waste,73.0
S0,T0869,KKV7,BP,wood chips,47.0
S0,T0869,KKV8,BP,wood chips,56.0
S0,T0869,VF5,BP,municipal waste,85.0
S0,T0869,VF6,BP,municipal waste,112.0
S0,T0869,HOB_EL,HO,electricity,120.0
S0,T0869,HOB_NG,HO,natural gas,177.67801655482702
S0,T0869,HOB_WP,HO,wood pellets,33.0
S0,T0869,HOB_WW,HO,wood waste,14.0
S0,T0869,DEH,HO,excess heat,8.0
S0,T0869,HP_AIR,HO,electricity,3.248
S0,T0870,FC,CO,electricity,0.04329004329004329
S0,T0870,AMV1,BP,wood pellets,362.0
S0,T0870,AMV4,BP,wood chips,500.0
S0,T0870,ARC,BP,municipal waste,224.0
S0,T0870,ARGO5,BP,municipal waste,65.0
S0,T0870,ARGO6,BP,municipal waste,73.0
S0,T0870,KKV7,BP,wood chips,47.0
S0,T0870,KKV8,BP,wood chips,56.0
S0,T0870,VF5,BP,municipal waste,85.0
S0,T0870,VF6,BP,municipal waste,112.0
S0,T0870,HOB_EL,HO,electricity,120.0
S0,T0870,HOB_NG,HO,natural gas,270.91343403055515
S0,T0870,HOB_WP,HO,wood pellets,33.0
S0,T0870,HOB_WW,HO,wood waste,14.0
S0,T0870,DEH,HO,excess heat,8.0
S0,T0870,HP_AIR,HO,electricity,3.248
S0,T0871,FC,CO,electricity,0.04329004329004329
S0,T0871,AMV1,BP,wood pellets,362.0
S0,T0871,AMV4,BP,wood chips,500.0
S0,T0871,ARC,BP,municipal waste,224.0
S0,T0871,ARGO5,BP,municipal waste,65.0
S0,T0871,ARGO6,BP,municipal waste,73.0
S0,T0871,KKV7,BP,wood chips,47.0
S0,T0871,KKV8,BP,wood chips,56.0
S0,T0871,VF5,BP,municipal waste,85.0
S0,T0871,VF6,BP,municipal waste,112.0
S0,T0871,HOB_EL,HO,electricity,120.0
S0,T0871,HOB_NG,HO,natural gas,274.7338612150212
S0,T0871,HOB_WP,HO,wood pellets,33.0
S0,T0871,HOB_WW,HO,wood waste,14.0
S0,T0871,DEH,HO,excess heat,8.0
S0,T0871,HP_AIR,HO,electricity,3.248
S0,T0872,FC,CO,electricity,0.04329004329004329
S0,T0872,AMV1,BP,wood pellets,362.0
S0,T0872,AMV4,BP,wood chips,500.0
S0,T0872,ARC,BP,municipal waste,224.0
S0,T0872,ARGO5,BP,municipal waste,65.0
S0,T0872,ARGO6,BP,municipal waste,73.0
S0,T0872,KKV7,BP,wood chips,47.0
S0,T0872,KKV8,BP,wood chips,56.0
S0,T0872,VF5,BP,municipal waste,85.0
S0,T0872,VF6,BP,municipal waste,112.0
S0,T0872,HOB_EL,HO,electricity,120.0
S0,T0872,HOB_NG,HO,natural gas,250.4304825742445
S0,T0872,HOB_WP,HO,wood pellets,33.0
S0,T0872,HOB_WW,HO,wood waste,14.0
S0,T0872,DEH,HO,excess heat,8.0
S0,T0872,HP_AIR,HO,electricity,3.248
S0,T0873,FC,CO,electricity,0.04329004329004329
S0,T0873,AMV1,BP,wood pellets,362.0
S0,T0873,AMV4,BP,wood chips,500.0
S0,T0873,ARC,BP,municipal waste,224.0
S0,T0873,ARGO5,BP,municipal waste,65.0
S0,T0873,ARGO6,BP,municipal waste,73.0
S0,T0873,KKV7,BP,wood chips,47.0
S0,T0873,KKV8,BP,wood chips,56.0
S0,T0873,VF5,BP,municipal waste,85.0
S0,T0873,VF6,BP,municipal waste,112.0
S0,T0873,HOB_EL,HO,electricity,120.0
S0,T0873,HOB_NG,HO,natural gas,187.32368645773965
S0,T0873,HOB_WP,HO,wood pellets,33.0
S0,T0873,HOB_WW,HO,wood waste,14.0
S0,T0873,DEH,HO,excess heat,8.0
S0,T0873,HP_AIR,HO,electricity,3.248
S0,T0874,FC,CO,electricity,0.04329004329004329
S0,T0874,AMV1,BP,wood pellets,362.0
S0,T0874,AMV4,BP,wood chips,500.0
S0,T0874,ARC,BP,municipal waste,224.0
S0,T0874,ARGO5,BP,municipal waste,65.0
S0,T0874,ARGO6,BP,municipal waste,73.0
S0,T0874,KKV7,BP,wood chips,47.0
S0,T0874,KKV8,BP,wood chips,56.0
S0,T0874,VF5,BP,municipal waste,85.0
S0,T0874,VF6,BP,municipal waste,112.0
S0,T0874,HOB_EL,HO,electricity,120.0
S0,T0874,HOB_NG,HO,natural gas,122.21207480725421
S0,T0874,HOB_WP,HO,wood pellets,33.0
S0,T0874,HOB_WW,HO,wood waste,14.0
S0,T0874,DEH,HO,excess heat,8.0
S0,T0874,HP_AIR,HO,electricity,3.248
S0,T0875,FC,CO,electricity,0.04329004329004329
S0,T0875,AMV1,BP,wood pellets,362.0
S0,T0875,AMV4,BP,wood chips,500.0
S0,T0875,ARC,BP,municipal waste,224.0
S0,T0875,ARGO5,BP,municipal waste,65.0
